,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apogee:,"3410m (11,188ft)"
2,2033.665,0,0,0,-7.1199999,1060.4792,1061.6176,256.58762,-7.1357145,3.7709999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.7111,0,0,0,-7.2199998,1070.168,1072.6371,255.6022,-7.2166715,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.756,0,0,0,-7.3099999,1080.8895,1083.3573,254.62328,-7.3063145,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.802,0,0,0,-7.3499999,1091.9602,1094.3208,253.65999,-7.3482747,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.848,0,0,0,-7.3499999,1105.4344,1105.8506,253.21123,-7.3499317,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.8929,0,0,0,-7.4099998,1118.3524,1117.5039,253.10524,-7.4076276,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.939,0,0,0,-7.3299999,1130.6622,1129.5031,253.0726,-7.3330655,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2033.985,0,0,0,-7.1399999,1141.2446,1141.1625,252.75749,-7.147624,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.031,0,0,0,-7.0799999,1153.4973,1152.9529,252.57387,-7.0826702,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.076,0,0,0,-7.1399999,1163.2712,1164.063,252.04504,-7.1377358,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.1219,0,0,0,-7.0999999,1173.5488,1175.1473,251.29189,-7.10149,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.168,0,0,0,-6.7800002,1185.9253,1186.5142,250.80905,-6.7926955,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.213,0,0,0,-6.9299998,1194.7274,1197.0612,249.88454,-6.9245777,3.766,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.259,0,0,0,-6.7199998,1205.9191,1207.92,249.03479,-6.7280784,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.3051,0,0,0,-6.9299998,1217.7888,1218.9908,248.40508,-6.9220262,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.351,0,0,0,-6.8899999,1229.7574,1230.254,247.95442,-6.8912644,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.396,0,0,0,-6.6999998,1237.0453,1240.3634,246.76471,-6.7075529,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.442,0,0,0,-6.6799998,1247.36,1250.6682,245.57703,-6.681088,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.488,0,0,0,-6.8499999,1260.1174,1261.5176,244.89676,-6.8433299,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.533,0,0,0,-6.5100002,1269.0674,1271.7036,243.89076,-6.5231633,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.579,0,0,0,-6.4899998,1281.0951,1282.4805,243.22276,-6.4913096,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.625,0,0,0,-6.3000002,1290.8213,1292.9827,242.34947,-6.3075547,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.67,0,0,0,-6.4299998,1301.4833,1303.3091,241.58165,-6.4251647,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.7159,0,0,0,-6.4099998,1312.2411,1313.8955,240.84673,-6.4105988,3.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2034.762,0,0,0,-6.1300001,1322.4607,1324.3683,240.04486,-6.1410809,3.7809999,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
